Name,Lat,Lon,Category
St Andrews Public School,-34.022532,150.831362,School
Ruse Public School,-34.066949,150.841573,School
Campbellfield Public School,-34.037684,150.847422,School
Sackville Street Public School,-34.011068,150.863607,School
Woodland Road Public School,-34.097072,150.815078,School
Hampden Park Public School,-33.914957,151.074029,School
Newbridge Heights Public School,-33.926068,150.952069,School
Ambarvale Public School,-34.086423,150.798192,School
Sarah Redfern Public School,-34.02765,150.85091,School
Claymore Public School,-34.043125,150.809517,School
The Grange Public School,-34.022051,150.857358,School
Glenwood Public School,-33.974542,150.903028,School
Blairmount Public School,-34.048007,150.802444,School
Rosemeadow Public School,-34.104647,150.794537,School
Thomas Acres Public School,-34.093621,150.789247,School
Bonnyrigg Public School,-33.887728,150.888962,School
Wiley Park Public School,-33.924753,151.068761,School
Prairievale Public School,-33.866464,150.890898,School
Eschol Park Public School,-34.02834,150.810838,School
William Stimson Public School,-33.854623,150.905782,School
Governor Philip King Public School,-33.873793,150.879107,School
Robert Townson Public School,-34.016173,150.818892,School
Edensor Park Public School,-33.882056,150.876121,School
Kearns Public School,-34.021486,150.804446,School
Bonnyrigg Heights Public School,-33.88935,150.867681,School
Mount Annan Public School,-34.061714,150.760497,School
St Helens Park Public School,-34.110232,150.804035,School
Hinchinbrook Public School,-33.912986,150.85892,School
Narellan Vale Public School,-34.056129,150.744718,School
Greenway Park Public School,-33.938001,150.837554,School
Currans Hill Public School,-34.04785,150.769197,School
Newington Public School,-33.841151,151.055228,School
Harrington Park Public School,-34.027145,150.738527,School
Dalmeny Public School,-33.947297,150.871393,School
Cecil Hills Public School,-33.888597,150.851731,School
Elderslie Public School,-34.054473,150.721773,School
Middleton Grange Public School,-33.917335,150.848199,School
Harcourt Public School,-33.90897,151.095803,School
Merrylands East Public School,-33.841954,150.98929,School
Lansvale Public School,-33.890977,150.953555,School
Granville East Public School,-33.84827,151.009981,School
Homebush West Public School,-33.866461,151.06671,School
Glenfield Park School,-33.967931,150.878601,School
Beverley Park School,-34.062208,150.824219,School
Broderick Gillawarna School,-33.942493,151.015897,School
Passfield Park School,-34.023862,150.850907,School
Wangee Park School,-33.908248,151.095881,School
Karningul School,-33.88501,151.023804,School
Mainsbridge School,-33.90964,150.928233,School
Lawrence Hargrave School,-33.908215,150.935355,School
Holroyd School,-33.828906,150.981664,School
Caroline Chisholm School,-33.936108,151.02521,School
Rivendell School,-33.832948,151.09845,School
Les Powell School,-33.90434,150.91237,School
Lucas Gardens School,-33.868438,151.113666,School
Mary Brooksbank School,-34.09782,150.792742,School
Campbell House School,-33.968196,150.882009,School
Ajuga School,-33.969521,150.878033,School
Lomandra School,-34.06173,150.824344,School
Canterbury Vale School,-33.915685,151.074514,School
Auburn Public School,-33.854,151.032953,School
